content,contentlink,actor,grade,peoplenum,instruct,picture
肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),['https://movie.douban.com/subject/1292052/'],导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...1994 / 美国 / 犯罪剧情,['9.6'],['714340人评价'],['希望让人自由。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480747492.jpg']
霸王别姬 / 再见，我的妾  /  Farewell My Concubine,['https://movie.douban.com/subject/1291546/'],导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...1993 / 中国大陆香港 / 剧情爱情同性,['9.5'],['497427人评价'],['风华绝代。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910813120.jpg']
美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,['https://movie.douban.com/subject/1292063/'],导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...1997 / 意大利 / 剧情喜剧爱情,['9.5'],['340601人评价'],['最美的谎言。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p510861873.jpg']
控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,['https://movie.douban.com/subject/1296141/'],导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...1957 / 美国 / 剧情犯罪悬疑,['9.5'],['48539人评价'],['比利·怀德满分作品。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg']
这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),['https://movie.douban.com/subject/1295644/'],导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔丽·波特曼...1994 / 法国 / 剧情动作犯罪,['9.4'],['685426人评价'],['怪蜀黍和小萝莉不得不说的故事。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p511118051.jpg']
阿甘正传 / Forrest Gump / 福雷斯特·冈普,['https://movie.douban.com/subject/1292720/'],导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise1994 / 美国 / 剧情爱情,['9.4'],['598531人评价'],['一部美国近现代史。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p510876377.jpg']
辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,['https://movie.douban.com/subject/1295124/'],导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...1993 / 美国 / 剧情历史战争,['9.4'],['316821人评价'],['拯救一个人，就是拯救整个世界。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p492406163.jpg']
机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),['https://movie.douban.com/subject/2131459/'],导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...2008 / 美国 / 喜剧爱情科幻动画冒险,['9.3'],['433645人评价'],['小瓦力，大人生。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p449665982.jpg']
十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,['https://movie.douban.com/subject/1293182/'],导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...1957 / 美国 / 剧情,['9.3'],['140457人评价'],['1957年的理想主义。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173577632.jpg']
海豚湾 / The Cove / 血色海湾(台)  /  海湾,['https://movie.douban.com/subject/3442220/'],导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...2009 / 美国 / 纪录片,['9.3'],['162264人评价'],['海豚的微笑，是世界上最高明的伪装。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455222172.jpg']
千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,['https://movie.douban.com/subject/1291561/'],导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...2001 / 日本 / 剧情动画奇幻,['9.2'],['545666人评价'],['最好的宫崎骏，最好的久石让。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910830216.jpg']
海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(台)  /  一九零零的传奇(港),['https://movie.douban.com/subject/1292001/'],导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...1998 / 意大利 / 剧情音乐,['9.2'],['515038人评价'],['每个人都要走一条自己坚定了的路，就算是粉身碎骨。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p511146957.jpg']
盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),['https://movie.douban.com/subject/3541415/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...2010 / 美国英国 / 剧情动作科幻悬疑冒险,['9.2'],['659468人评价'],['诺兰给了我们一场无法盗取的梦。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p513344864.jpg']
放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,['https://movie.douban.com/subject/1291549/'],导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...2004 / 法国德国瑞士 / 剧情儿童音乐,['9.2'],['381766人评价'],['天籁一般的童声，是最接近上帝的存在。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824951.jpg']
忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),['https://movie.douban.com/subject/3011091/'],导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...2009 / 美国英国 / 剧情,['9.2'],['364737人评价'],['永远都不能忘记你所爱的人。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p524964016.jpg']
教父 / The Godfather / Mario Puzo's The Godfather  /  教父,['https://movie.douban.com/subject/1291841/'],导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...1972 / 美国 / 剧情犯罪,['9.2'],['291061人评价'],['千万不要记恨你的对手，这样会让你失去理智。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910907404.jpg']
乱世佳人 / Gone with the Wind / 飘,['https://movie.douban.com/subject/1300267/'],导演:VictorFleming/GeorgeCukor   主演:克拉克·盖博ClarkGable/...1939 / 美国 / 剧情爱情战争,['9.2'],['232104人评价'],['Tomorrow is another day.'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1963126880.jpg']
大闹天宫 / 大闹天宫 上下集  /  The Monkey King,['https://movie.douban.com/subject/1418019/'],导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...1961(上集)/1964(下集)/1978(全本)/2004(纪念版) / 中国大陆 / 动画奇幻,['9.2'],['77847人评价'],['经典之作，历久弥新。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2184505167.jpg']
城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,['https://movie.douban.com/subject/1293908/'],导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...1931 / 美国 / 喜剧剧情爱情,['9.2'],['32648人评价'],['永远的小人物，伟大的卓别林。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2099815842.jpg']
泰坦尼克号 / Titanic / 铁达尼号(港 / 台) ,['https://movie.douban.com/subject/1292722/'],导演:JamesCameron   主演:LeonardoDiCaprio/KateWinslet/BillyZane1997 / 美国 / 剧情爱情灾难,['9.1'],['550638人评价'],['失去的才是永恒的。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457760035.jpg']
三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),['https://movie.douban.com/subject/3793023/'],导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...2009 / 印度 / 剧情喜剧爱情歌舞,['9.1'],['565901人评价'],['英俊版憨豆，高情商版谢耳朵。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p579729551.jpg']
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,['https://movie.douban.com/subject/1292213/'],导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...1995 / 香港中国大陆 / 动作冒险喜剧奇幻爱情,['9.1'],['378110人评价'],['一生所爱。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p648365452.jpg']
龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,['https://movie.douban.com/subject/1291560/'],导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...1988 / 日本 / 动画奇幻,['9.1'],['355324人评价'],['人人心中都有个龙猫，童年就永远不会消失。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910829638.jpg']
天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(台)  /  新天堂乐园(港),['https://movie.douban.com/subject/1291828/'],导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东娜拉·塔莉Antonel...1988 / 意大利法国 / 剧情爱情,['9.1'],['267289人评价'],['那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910901025.jpg']
触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),['https://movie.douban.com/subject/6786002/'],导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...2011 / 法国 / 剧情喜剧,['9.1'],['304747人评价'],['满满温情的高雅喜剧。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1454261925.jpg']
指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临  /  指环王III：王者无敌,['https://movie.douban.com/subject/1291552/'],导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...2003 / 美国新西兰 / 剧情动作奇幻冒险,['9.1'],['247210人评价'],['史诗的终章。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910825503.jpg']
鬼子来了 / Devils on the Doorstep,['https://movie.douban.com/subject/1291858/'],导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000 / 中国大陆 / 剧情战争,['9.1'],['186866人评价'],['对敌人的仁慈，就是对自己残忍。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1181775734.jpg']
窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活,['https://movie.douban.com/subject/1900841/'],导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...2006 / 德国 / 剧情悬疑,['9.1'],['183107人评价'],['别样人生。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1808872109.jpg']
熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,['https://movie.douban.com/subject/5912992/'],导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJeong...2011 / 韩国 / 剧情,['9.1'],['174701人评价'],['我们一路奋战不是为了改变世界，而是为了不让世界改变我们。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1363250216.jpg']
教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,['https://movie.douban.com/subject/1299131/'],导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...1974 / 美国 / 剧情犯罪,['9.1'],['157089人评价'],['优雅的孤独。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p616779231.jpg']
美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),['https://movie.douban.com/subject/1292262/'],导演:SergioLeone   主演:罗伯特·德尼罗RobertDeNiro/詹姆斯·伍兹...1984 / 意大利美国 / 犯罪剧情,['9.1'],['146598人评价'],['往事如烟，无处祭奠。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg']
星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),['https://movie.douban.com/subject/1889243/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...2014 / 美国英国加拿大 / 剧情科幻悬疑冒险家庭,['9.1'],['397477人评价'],['爱是一种力量，让我们超越时空感知它的存在。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2206088801.jpg']
小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,['https://movie.douban.com/subject/1303021/'],导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...1999 / 伊朗 / 剧情家庭儿童,['9.1'],['111254人评价'],['奔跑的孩子是天使。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg']
辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),['https://movie.douban.com/subject/21937445/'],导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...2013 / 韩国 / 剧情,['9.1'],['144811人评价'],['电影的现实意义大过电影本身。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg']
"摩登时代 / Modern Times / The Masses  /  Temps modernes, Les",['https://movie.douban.com/subject/1294371/'],导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...1936 / 美国 / 喜剧剧情爱情,['9.1'],['67582人评价'],['大时代中的人生，小人物的悲喜。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173707976.jpg']
七武士 / 七人の侍 / 七侠四义(港)  /  The Seven Samurai,['https://movie.douban.com/subject/1295399/'],导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...1954 / 日本 / 动作冒险剧情,['9.1'],['61053人评价'],['时代悲歌。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p647099823.jpg']
迁徙的鸟 / Le peuple migrateur / 鸟的迁徙  /  鸟与梦飞行,['https://movie.douban.com/subject/1292281/'],导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...2001 / 法国德国意大利西班牙瑞士 / 纪录片,['9.1'],['46312人评价'],['最美的飞翔。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2238274168.jpg']
爱·回家 / 집으로... / 外婆的家  /  回家路上,['https://movie.douban.com/subject/1299361/'],导演:李廷香Jeong-hyangLee   主演:金艺芬Eul-boonKim/俞承豪Seung-...2002 / 韩国 / 剧情儿童家庭,['9.1'],['39041人评价'],['献给所有外婆的电影。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2107418134.jpg']
东京物语 / 東京物語 / 东京故事  /  Tokyo Story,['https://movie.douban.com/subject/1291568/'],导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节...1953 / 日本 / 剧情家庭,['9.1'],['37411人评价'],['东京那么大，如果有一天走失了，恐怕一辈子不能再相见。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910832390.jpg']
"黄金三镖客 / Il buono, il brutto, il cattivo. / 好·坏·丑  /  独行侠决斗地狱门(港)",['https://movie.douban.com/subject/1401118/'],导演:SergioLeone   主演:ClintEastwood/EliWallach/LeeVanCleef1966 / 意大利西班牙西德 / 冒险西部,['9.1'],['39627人评价'],['最棒的西部片。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2101693489.jpg']
搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),['https://movie.douban.com/subject/1292000/'],导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...1999 / 美国德国 / 剧情动作悬疑惊悚,['9.0'],['361608人评价'],['邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910926158.jpg']
楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,['https://movie.douban.com/subject/1292064/'],导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998 / 美国 / 剧情,['9.0'],['366874人评价'],['如果再也不能见到你，祝你早安，午安，晚安。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p479682972.jpg']
天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,['https://movie.douban.com/subject/1291583/'],导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/鹫尾真知子...1986 / 日本 / 动画奇幻冒险,['9.0'],['279708人评价'],['对天空的追逐，永不停止。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1446261379.jpg']
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",['https://movie.douban.com/subject/1293350/'],导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran1998 / 英国 / 剧情喜剧犯罪,['9.0'],['238017人评价'],['4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg']
飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,['https://movie.douban.com/subject/1292224/'],导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...1975 / 美国 / 剧情,['9.0'],['238564人评价'],['自由万岁。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg']
少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,['https://movie.douban.com/subject/1929463/'],导演:李安AngLee   主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...2012 / 美国台湾英国加拿大 / 剧情奇幻冒险,['9.0'],['502962人评价'],['瑰丽壮观、无人能及的冒险之旅。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1784592701.jpg']
蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),['https://movie.douban.com/subject/1851857/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2008 / 美国英国 / 剧情动作科幻犯罪惊悚,['9.0'],['265054人评价'],['无尽的黑暗。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg']
活着 / 人生  /  Lifetimes,['https://movie.douban.com/subject/1292365/'],导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994 / 中国大陆香港 / 剧情家庭,['9.0'],['211789人评价'],['张艺谋最好的电影。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg']
钢琴家 / The Pianist / 战地琴人  /  钢琴战曲,['https://movie.douban.com/subject/1296736/'],导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...2002 / 法国德国英国波兰 / 剧情传记历史战争,['9.0'],['172049人评价'],['音乐能化解仇恨。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg']
素媛 / 소원 / 许愿  /  希望：为爱重生(台),['https://movie.douban.com/subject/21937452/'],导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013 / 韩国 / 剧情家庭,['9.0'],['123722人评价'],['受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg']
海洋 / Océans / Oceans  /  海洋,['https://movie.douban.com/subject/3443389/'],导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...2009 / 法国瑞士西班牙美国阿联酋 / 纪录片,['9.0'],['88709人评价'],['大海啊，不全是水。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p497010372.jpg']
狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港),['https://movie.douban.com/subject/6985810/'],导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...2012 / 丹麦瑞典比利时 / 剧情,['9.0'],['88770人评价'],['人言可畏。'],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1546987967.jpg']
完美的世界 / A Perfect World / 强盗保镳,['https://movie.douban.com/subject/1300992/'],导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...1993 / 美国 / 剧情犯罪,['9.0'],['64218人评价'],['坏人的好总是比好人的好来得更感人。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792403691.jpg']
追随 / Following / 致命追踪  /  跟踪,['https://movie.douban.com/subject/1397546/'],导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米.西奥伯德Jeremy...1998 / 英国 / 犯罪悬疑惊悚,['9.0'],['61918人评价'],['诺兰的牛逼来源于内心散发出的恐惧。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2074443514.jpg']
忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,['https://movie.douban.com/subject/1959195/'],导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...1987 / 日本 / 剧情,['9.0'],['41123人评价'],['养狗三日，便会对你终其一生。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1576418852.jpg']
我爱你 / 그대를 사랑합니다 / 爱你  /  Late Blossom,['https://movie.douban.com/subject/5908478/'],导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...2011 / 韩国 / 剧情爱情,['9.0'],['42851人评价'],['你要相信，这世上真的有爱存在，不管在什么年纪 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1075591188.jpg']
当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,['https://movie.douban.com/subject/1849031/'],导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...2006 / 美国 / 剧情传记家庭,['8.9'],['462403人评价'],['平民励志片。 '],['https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1312700628.jpg']
罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),['https://movie.douban.com/subject/1293839/'],导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...1953 / 美国 / 喜剧剧情爱情,['8.9'],['330288人评价'],['爱情哪怕只有一天。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173398296.jpg']
怦然心动 / Flipped / 萌动青春  /  青春萌动,['https://movie.douban.com/subject/3319755/'],导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...2010 / 美国 / 剧情喜剧爱情,['8.9'],['445427人评价'],['真正的幸福是来自内心深处。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p663036666.jpg']
无间道 / 無間道 / Infernal Affairs,['https://movie.douban.com/subject/1307914/'],导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生2002 / 香港 / 犯罪悬疑惊悚,['8.9'],['328106人评价'],['香港电影史上永不过时的杰作。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2233971046.jpg']
飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),['https://movie.douban.com/subject/2129039/'],导演:彼特·道格特PeteDocter   主演:爱德华·阿斯纳EdwardAsner/克...2009 / 美国 / 剧情喜剧动画奇幻冒险,['8.9'],['435632人评价'],['最后那些最无聊的事情，才是最值得怀念的。 '],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465583562.jpg']
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,['https://movie.douban.com/subject/1299398/'],导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...1995 / 香港中国大陆 / 喜剧动作爱情奇幻冒险古装,['8.9'],['328096人评价'],['旷古烁今。'],['https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1280323646.jpg']
